var1,var2,var3
611.374268,0.944576,0.328294
611.424255,0.926992,0.375081
611.474243,0.907092,0.420932
611.524231,0.884927,0.465730
611.574219,0.860550,0.509366
611.624207,0.834024,0.551729
611.674194,0.805414,0.592713
611.724182,0.774792,0.632217
611.774170,0.742234,0.670141
611.824158,0.707822,0.706391
611.874146,0.671641,0.740876
611.924133,0.633783,0.773511
611.974121,0.594341,0.804213
612.024109,0.553415,0.832906
612.074097,0.511106,0.859518
612.124084,0.467520,0.883983
612.174072,0.422766,0.906239
612.224060,0.376956,0.926231
612.274048,0.330204,0.943910
612.324036,0.282627,0.959230
612.374023,0.234344,0.972154
612.424011,0.185476,0.982649
612.473999,0.136144,0.990689
612.523987,0.086473,0.996254
612.573975,0.036585,0.999331
612.623962,0.013395,0.999910
612.673950,0.063340,0.997992
612.723938,0.113128,0.993580
612.773926,0.162633,0.986687
612.823914,0.211731,0.977328
612.873901,0.260301,0.965528
612.923889,0.308220,0.951315
612.973877,0.355370,0.934726
613.023865,0.401631,0.915802
613.073853,0.446889,0.894589
613.123840,0.491031,0.871142
613.173828,0.533946,0.845519
613.223816,0.575527,0.817783
613.273804,0.615670,0.788004
613.323792,0.654275,0.756256
613.373779,0.691246,0.722620
613.423767,0.726490,0.687177
613.473755,0.759918,0.650019
613.523743,0.791449,0.611236
613.573730,0.821002,0.570926
613.623718,0.848503,0.529190
613.673706,0.873886,0.486132
613.723694,0.897084,0.441859
613.773682,0.918042,0.396482
613.823669,0.936707,0.350115
613.873657,0.953031,0.302874
613.923645,0.966974,0.254875
613.973633,0.978501,0.206240
614.023621,0.987584,0.157090
614.073608,0.994200,0.107547
614.123596,0.998332,0.057735
614.173584,0.999970,0.007780
614.223572,0.999109,0.042195
614.273560,0.995753,0.092065
614.323547,0.989909,0.141705
614.373535,0.981592,0.190991
614.423523,0.970822,0.239799
614.473511,0.957628,0.288009
614.523499,0.942041,0.335499
614.573486,0.924100,0.382151
614.623474,0.903851,0.427848
614.673462,0.881343,0.472476
614.723450,0.856634,0.515924
614.773438,0.829785,0.558083
614.823425,0.800863,0.598848
614.873413,0.769940,0.638116
614.923401,0.737093,0.675791
614.973389,0.702405,0.711777
615.023376,0.665963,0.745985
615.073364,0.627856,0.778329
615.123352,0.588181,0.808729
615.173340,0.547037,0.837109
615.223328,0.504526,0.863397
615.273315,0.460754,0.887528
615.323303,0.415831,0.909442
615.373291,0.369870,0.929084
615.423279,0.322984,0.946404
615.473267,0.275292,0.961361
615.523254,0.226912,0.973915
615.573242,0.177965,0.984037
615.623230,0.128573,0.991700
615.673218,0.078860,0.996886
615.723206,0.028950,0.999581
615.773193,0.021032,0.999779
615.823181,0.070961,0.997479
615.873169,0.120714,0.992687
615.923157,0.170165,0.985416
615.973145,0.219190,0.975682
616.023132,0.267668,0.963511
616.073120,0.315478,0.948933
616.123108,0.362499,0.931984
616.173096,0.408615,0.912707
616.223083,0.453709,0.891150
616.273071,0.497671,0.867366
616.323059,0.540389,0.841416
616.373047,0.581757,0.813363
616.423035,0.621671,0.783278
616.473022,0.660033,0.751237
616.523010,0.696745,0.717319
616.572998,0.731717,0.681608
616.622986,0.764861,0.644195
616.672974,0.796094,0.605173
616.722961,0.825338,0.564638
616.772949,0.852521,0.522693
616.822937,0.877573,0.479443
616.872925,0.900433,0.434994
616.922913,0.921044,0.389459
616.972900,0.939353,0.342950
617.022888,0.955316,0.295585
617.072876,0.968893,0.247482
617.122864,0.980048,0.198760
617.172852,0.988755,0.149542
617.222839,0.994992,0.099950
617.272827,0.998744,0.050108
617.322815,1.000000,0.000141
617.372803,0.998758,0.049826
617.422791,0.995021,0.099668
617.472778,0.988798,0.149262
617.522766,0.980104,0.198483
617.572754,0.968963,0.247208
617.622742,0.955400,0.295315
617.672729,0.939451,0.342685
617.722717,0.921154,0.389198
617.772705,0.900556,0.434739
617.822693,0.877709,0.479194
617.872681,0.852669,0.522452
617.922668,0.825498,0.564405
617.972656,0.796265,0.604947
618.022644,0.765043,0.643979
618.072632,0.731910,0.681401
618.122620,0.696948,0.717121
618.172607,0.660245,0.751050
618.222595,0.621893,0.783102
618.272583,0.581987,0.813198
618.322571,0.540627,0.841263
618.372559,0.497916,0.867225
618.422546,0.453962,0.891021
618.472534,0.408873,0.912591
618.522522,0.362763,0.931882
618.572510,0.315746,0.948844
618.622498,0.267941,0.963435
618.672485,0.219466,0.975620
618.722473,0.170443,0.985367
618.772461,0.120995,0.992653
618.822449,0.071244,0.997459
618.872437,0.021315,0.999773
618.922424,0.028668,0.999589
618.972412,0.078578,0.996908
619.022400,0.128293,0.991736
