var1,var2
168.330000,1.801001
168.340000,1.669690
168.350000,1.340012
168.360000,0.857593
168.370000,0.420019
168.380000,0.175372
168.390000,0.109661
168.400000,0.188602
168.410000,0.453362
168.420000,0.902057
168.430000,1.367948
168.440000,1.665141
168.450000,1.768779
168.460000,1.725420
168.470000,1.511686
168.480000,1.097937
168.490000,0.606428
168.500000,0.243757
168.510000,0.082897
168.520000,0.078220
168.530000,0.229467
168.540000,0.582442
168.550000,1.065241
168.560000,1.471496
168.570000,1.677923
168.580000,1.713647
168.590000,1.602504
168.600000,1.298075
168.610000,0.824276
168.620000,0.366360
168.630000,0.091886
168.640000,0.003553
168.650000,0.059923
168.660000,0.294905
168.670000,0.723176
168.680000,1.197592
168.690000,1.520108
168.700000,1.644082
168.710000,1.617478
168.720000,1.427623
168.730000,1.035308
168.740000,0.539407
168.750000,0.149109
168.760000,0.038810
168.770000,0.064233
168.780000,0.061151
168.790000,0.385282
168.800000,0.859514
168.810000,1.284933
168.820000,1.516245
168.830000,1.569440
168.840000,1.477690
168.850000,1.199034
168.860000,0.737782
168.870000,0.263076
168.880000,0.041111
168.890000,0.152685
168.900000,0.117783
168.910000,0.088316
168.920000,0.493714
168.930000,0.973117
168.940000,1.320632
168.950000,1.466440
168.960000,1.456674
168.970000,1.290054
168.980000,0.921321
168.990000,0.425538
169.000000,0.009725
169.010000,0.205888
169.020000,0.251925
169.030000,0.150862
169.040000,0.144106
169.050000,0.606275
169.060000,1.048517
169.070000,1.305712
169.080000,1.377554
169.090000,1.304661
169.100000,1.052033
169.110000,0.607031
169.120000,0.119560
169.130000,0.213714
169.140000,0.349149
169.150000,0.334702
169.160000,0.156217
169.170000,0.224441
169.180000,0.705241
169.190000,1.077063
169.200000,1.246308
169.210000,1.253829
169.220000,1.109814
169.230000,0.766419
169.240000,0.275329
169.250000,0.163283
169.260000,0.406951
169.270000,0.473606
169.280000,0.395267
169.290000,0.129225
169.300000,0.317739
169.310000,0.774142
169.320000,1.057998
169.330000,1.149939
169.340000,1.095636
169.350000,0.869052
169.360000,0.443686
169.370000,0.052154
169.380000,0.413357
169.390000,0.573246
169.400000,0.578392
169.410000,0.425977
169.420000,0.071343
169.430000,0.407278
169.440000,0.802306
169.450000,0.996589
169.460000,1.022189
169.470000,0.900203
169.480000,0.583499
169.490000,0.101606
169.500000,0.356539
169.510000,0.628303
169.520000,0.715723
169.530000,0.658549
169.540000,0.420723
169.550000,0.008305
169.560000,0.475913
169.570000,0.786893
169.580000,0.900582
169.590000,0.864873
169.600000,0.664146
169.610000,0.261404
169.620000,0.238167
169.630000,0.625602
169.640000,0.810477
169.650000,0.834549
169.660000,0.706496
169.670000,0.378618
169.680000,0.094336
169.690000,0.511022
169.700000,0.731838
169.710000,0.776601
169.720000,0.676154
169.730000,0.387085
169.740000,0.081305
169.750000,0.555243
169.760000,0.854793
169.770000,0.963269
169.780000,0.925823
169.790000,0.715122
169.800000,0.306323
169.810000,0.169282
169.820000,0.507448
169.830000,0.644633
169.840000,0.627789
169.850000,0.452565
169.860000,0.074971
169.870000,0.423584
169.880000,0.835038
169.890000,1.045335
169.900000,1.087907
169.910000,0.982451
169.920000,0.681557
169.930000,0.217608
169.940000,0.218723
169.950000,0.467346
169.960000,0.532591
169.970000,0.453304
169.980000,0.192412
169.990000,0.258492
170.000000,0.744105
170.010000,1.070752
170.020000,1.200713
170.030000,1.181760
170.040000,0.996820
170.050000,0.610090
170.060000,0.129898
170.070000,0.235036
170.080000,0.397466
170.090000,0.399999
170.100000,0.249793
170.110000,0.100641
170.120000,0.593467
170.130000,1.026245
170.140000,1.262270
170.150000,1.323182
170.160000,1.238613
170.170000,0.964492
170.180000,0.512680
170.190000,0.059178
170.200000,0.218196
170.210000,0.305401
170.220000,0.247021
170.230000,0.014463
170.240000,0.415399
170.250000,0.908310
170.260000,1.260974
170.270000,1.412962
170.280000,1.411543
170.290000,1.250833
170.300000,0.887570
170.310000,0.406340
170.320000,0.015596
170.330000,0.173718
170.340000,0.196351
170.350000,0.070581
170.360000,0.251222
170.370000,0.733782
170.380000,1.184760
170.390000,1.446652
170.400000,1.526028
170.410000,1.460787
170.420000,1.212872
170.430000,0.776073
170.440000,0.308320
170.450000,0.001681
170.460000,0.109041
170.470000,0.071446
170.480000,0.132975
170.490000,0.538758
170.500000,1.034451
170.510000,1.411656
170.520000,1.586305
170.530000,1.601784
170.540000,1.463723
170.550000,1.124902
170.560000,0.646255
170.570000,0.231239
170.580000,0.013623
170.590000,0.030001
170.600000,0.071974
170.610000,0.364227
170.620000,0.832288
170.630000,1.297986
170.640000,1.585680
170.650000,1.683929
170.660000,1.636698
170.670000,1.414154
170.680000,0.994951
170.690000,0.516267
170.700000,0.180369
170.710000,0.044584
170.720000,0.061385
170.730000,0.238179
170.740000,0.617434
170.750000,1.111385
170.760000,1.511265
170.770000,1.709258
170.780000,1.741365
170.790000,1.624423
170.800000,1.310632
170.810000,0.838193
170.820000,0.401036
170.830000,0.154025
170.840000,0.088401
170.850000,0.167251
170.860000,0.429571
170.870000,0.879320
170.880000,1.355987
170.890000,1.669177
170.900000,1.786975
170.910000,1.756748
170.920000,1.558568
170.930000,1.159221
170.940000,0.673271
170.950000,0.308706
170.960000,0.146413
170.970000,0.142288
170.980000,0.292230
170.990000,0.643131
171.000000,1.130938
171.010000,1.551257
171.020000,1.773281
171.030000,1.822128
171.040000,1.724918
171.050000,1.436413
171.060000,0.973732
171.070000,0.517150
171.080000,0.240069
171.090000,0.151373
171.100000,0.207762
171.110000,0.440272
171.120000,0.868416
171.130000,1.352119
171.140000,1.690223
171.150000,1.828482
171.160000,1.814620
171.170000,1.639713
171.180000,1.262145
171.190000,0.772860
171.200000,0.380852
171.210000,0.190793
171.220000,0.165495
171.230000,0.289573
171.240000,0.610937
171.250000,1.088435
171.260000,1.526618
171.270000,1.773302
171.280000,1.839383
171.290000,1.760748
171.300000,1.497500
171.310000,1.047982
171.320000,0.575238
171.330000,0.267911
171.340000,0.155067
171.350000,0.189621
171.360000,0.392899
171.370000,0.796730
171.380000,1.283458
171.390000,1.645587
171.400000,1.805403
171.410000,1.807668
171.420000,1.654945
171.430000,1.300733
171.440000,0.812220
171.450000,0.394649
171.460000,0.175838
171.470000,0.129020
171.480000,0.228370
171.490000,0.519639
171.500000,0.983014
171.510000,1.436182
171.520000,1.708035
171.530000,1.792202
171.540000,1.731272
171.550000,1.493033
171.560000,1.059867
171.570000,0.574708
171.580000,0.237524
171.590000,0.099505
171.600000,0.112784
171.610000,0.287796
171.620000,0.665240
171.630000,1.150996
171.640000,1.535928
171.650000,1.718519
171.660000,1.737084
171.670000,1.605538
171.680000,1.275917
171.690000,0.792354
171.700000,0.351743
171.710000,0.103541
171.720000,0.034774
171.730000,0.110615
171.740000,0.371819
171.750000,0.817694
171.760000,1.282715
171.770000,1.580059
171.780000,1.683477
171.790000,1.639717
171.800000,1.426076
171.810000,1.012174
171.820000,0.518741
171.830000,0.152694
171.840000,0.011418
171.850000,0.018950
171.860000,0.129072
171.870000,0.478700
171.880000,0.959603
171.890000,1.365764
171.900000,1.572387
171.910000,1.607829
171.920000,1.496592
171.930000,1.192468
171.940000,0.717999
171.950000,0.257477
171.960000,0.020344
171.970000,0.111554
171.980000,0.057988
171.990000,0.173711
172.000000,0.599211
172.010000,1.072759
172.020000,1.395652
172.030000,1.519741
172.040000,1.492974
172.050000,1.303418
172.060000,0.911356
172.070000,0.414080
172.080000,0.020785
172.090000,0.170174
172.100000,0.198175
172.110000,0.075649
172.120000,0.245367
172.130000,0.717735
172.140000,1.143193
172.150000,1.375054
172.160000,1.428319
172.170000,1.336719
172.180000,1.058684
172.190000,0.597310
172.200000,0.120549
172.210000,0.186660
172.220000,0.300850
172.230000,0.268373
172.240000,0.065175
172.250000,0.337621
172.260000,0.816234
172.270000,1.164409
172.280000,1.310758
172.290000,1.301170
172.300000,1.135134
172.310000,0.767110
172.320000,0.270589
172.330000,0.147725
172.340000,0.366075
172.350000,0.414346
172.360000,0.315692
172.370000,0.023495
172.380000,0.436936
172.390000,0.879400
172.400000,1.137555
172.410000,1.209911
172.420000,1.137500
172.430000,0.885860
172.440000,0.441334
172.450000,0.047546
172.460000,0.383415
172.470000,0.521139
172.480000,0.508685
172.490000,0.332633
172.500000,0.045696
172.510000,0.525842
172.520000,0.898644
172.530000,1.068917
172.540000,1.077042
172.550000,0.933955
172.560000,0.591759
172.570000,0.100621
172.580000,0.339901
172.590000,0.585927
172.600000,0.654427
172.610000,0.577997
172.620000,0.314296
172.630000,0.131134
172.640000,0.587971
172.650000,0.873231
172.660000,0.966192
172.670000,0.912767
172.680000,0.687571
172.690000,0.263299
172.700000,0.233240
172.710000,0.596532
172.720000,0.758337
172.730000,0.765012
172.740000,0.614507
172.750000,0.261854
172.760000,0.216294
172.770000,0.612629
172.780000,0.808462
172.790000,0.835146
172.800000,0.714471
172.810000,0.399462
172.820000,0.081765
172.830000,0.541163
172.840000,0.814854
172.850000,0.903711
172.860000,0.847922
172.870000,0.611951
172.880000,0.184198
172.890000,0.284062
172.900000,0.596889
172.910000,0.712138
172.920000,0.677744
172.930000,0.478813
172.940000,0.077774
172.950000,0.421754
172.960000,0.810720
172.970000,0.997115
172.980000,1.022254
172.990000,0.895566
173.000000,0.569271
173.010000,0.096589
173.020000,0.321712
173.030000,0.544598
173.040000,0.590955
173.050000,0.492217
173.060000,0.205318
173.070000,0.261703
173.080000,0.736204
173.090000,1.037220
173.100000,1.146733
173.110000,1.110157
173.120000,0.900803
173.130000,0.492991
173.140000,0.016530
173.150000,0.323894
173.160000,0.463180
173.170000,0.448098
173.180000,0.275062
173.190000,0.100257
173.200000,0.598034
173.210000,1.010436
173.220000,1.221860
173.230000,1.265062
173.240000,1.160439
173.250000,0.860712
173.260000,0.396836
173.270000,0.041372
173.280000,0.292551
173.290000,0.359895
173.300000,0.282706
173.310000,0.024413
173.320000,0.424464
173.330000,0.909952
173.340000,1.237601
173.350000,1.368228
173.360000,1.349673
173.370000,1.165581
173.380000,0.779548
173.390000,0.298336
173.400000,0.069204
173.410000,0.234242
173.420000,0.238970
173.430000,0.091306
173.440000,0.256351
173.450000,0.747706
173.460000,1.180851
173.470000,1.417636
173.480000,1.478798
173.490000,1.394574
173.500000,1.121216
173.510000,0.669303
173.520000,0.213732
173.530000,0.066616
173.540000,0.156390
173.550000,0.100461
173.560000,0.129137
173.570000,0.556392
173.580000,1.048521
173.590000,1.401746
173.600000,1.554086
173.610000,1.552660
173.620000,1.392345
173.630000,1.029510
173.640000,0.547154
173.650000,0.153547
173.660000,0.038815
173.670000,0.064035
173.680000,0.058900
173.690000,0.377518
173.700000,0.857985
173.710000,1.308785
173.720000,1.571117
173.730000,1.650441
173.740000,1.585132
173.750000,1.337618
173.760000,0.900588
173.770000,0.430666
173.780000,0.120731
173.790000,0.007035
173.800000,0.041883
173.810000,0.243071
173.820000,0.645774
173.830000,1.140094
173.840000,1.517460
173.850000,1.692223
173.860000,1.707384
173.870000,1.569337
173.880000,1.230720
173.890000,0.750919
173.900000,0.332896
173.910000,0.111884
173.920000,0.065349
173.930000,0.164277
173.940000,0.453049
173.950000,0.918499
173.960000,1.383530
173.970000,1.671409
173.980000,1.769403
173.990000,1.721791
174.000000,1.499354
174.010000,1.079851
174.020000,0.599007
174.030000,0.259611
174.040000,0.120534
174.050000,0.134369
174.060000,0.307764
174.070000,0.683590
174.080000,1.175668
174.090000,1.575373
174.100000,1.773330
174.110000,1.804923
174.120000,1.687710
174.130000,1.373966
174.140000,0.900432
174.150000,0.460254
174.160000,0.209616
174.170000,0.140843
174.180000,0.216526
174.190000,0.475198
174.200000,0.921944
174.210000,1.397535
174.220000,1.710731
174.230000,1.828183
174.240000,1.797381
174.250000,1.599100
174.260000,1.199460
174.270000,0.711475
174.280000,0.343350
174.290000,0.177554
174.300000,0.170334
174.310000,0.316825
174.320000,0.664092
174.330000,1.149636
174.340000,1.569520
174.350000,1.791457
174.360000,1.839721
174.370000,1.742068
174.380000,1.453533
174.390000,0.989911
174.400000,0.530434
174.410000,0.249627
174.420000,0.157645
174.430000,0.210849
174.440000,0.439678
174.450000,0.864567
174.460000,1.346880
174.470000,1.684897
174.480000,1.822837
174.490000,1.808335
174.500000,1.633222
174.510000,1.255449
174.520000,0.764375
174.530000,0.368893
174.540000,0.175242
174.550000,0.146818
174.560000,0.267511
174.570000,0.585182
174.580000,1.060154
174.590000,1.497726
174.600000,1.744373
174.610000,1.809931
174.620000,1.730805
174.630000,1.467541
174.640000,1.017330
174.650000,0.541958
174.660000,0.230950
174.670000,0.114790
174.680000,0.146243
174.690000,0.345943
174.700000,0.746416
174.710000,1.231544
174.720000,1.593577
174.730000,1.753219
174.740000,1.754913
174.750000,1.601989
174.760000,1.247743
174.770000,0.757801
174.780000,0.336991
174.790000,0.114625
174.800000,0.064751
174.810000,0.160895
174.820000,0.448559
174.830000,0.909278
174.840000,1.361747
174.850000,1.633707
174.860000,1.717541
174.870000,1.656198
174.880000,1.418048
174.890000,0.984525
174.900000,0.497138
174.910000,0.156462
174.920000,0.015206
174.930000,0.025568
174.940000,0.197231
174.950000,0.571359
174.960000,1.055414
174.970000,1.440321
174.980000,1.622990
174.990000,1.641184
175.000000,1.509550
175.010000,1.180146
175.020000,0.695615
175.030000,0.252143
175.040000,0.000551
175.050000,0.071108
175.060000,0.001809
175.070000,0.259634
175.080000,0.702852
175.090000,1.167170
175.100000,1.464847
175.110000,1.568239
175.120000,1.524265
175.130000,1.310908
175.140000,0.897059
175.150000,0.401919
175.160000,0.032704
175.170000,0.134460
175.180000,0.144639
175.190000,0.000374
175.200000,0.346864
175.210000,0.826068
175.220000,1.232345
175.230000,1.439389
175.240000,1.474775
175.250000,1.363668
175.260000,1.060080
175.270000,0.585190
175.280000,0.122313
175.290000,0.158618
175.300000,0.252470
175.310000,0.201460
175.320000,0.027204
175.330000,0.450169
175.340000,0.923083
175.350000,1.246602
